Hits,Kudos,Words,Bookmarks,Comments,Chapters,PublishDate,Cosine_distance
100.0,12.0,3009.0,0,1,1,478,0.24085247008783064
6228.0,166.0,1946.0,5,7,1,2797,0.02434962555382525
365.0,26.0,1272.0,2,15,1,1188,0.030572791317058142
195.0,1.0,665.0,0,0,1,1755,0.04118920470545584
84.0,3.0,629.0,0,0,1,951,0.05170566138839039
2472.0,132.0,988.0,5,8,1,1123,0.045596015518506006
195.0,4.0,1048.0,0,0,2,1586,0.03286793227699325
19433.0,1125.0,15565.0,202,41,1,1316,0.015041349889322375
293.0,21.0,4966.0,3,8,9,571,0.016356272387617388
4142.0,231.0,2970.0,27,8,1,1738,0.024204741229190918
557.0,65.0,1810.0,6,0,1,848,0.0191253666126856
233.0,12.0,1843.0,0,0,4,698,0.0203397773808186
286.0,24.0,59117.0,45,4,81,2731,0.015866043444550226
186.0,12.0,3600.0,2,2,1,837,0.019179667110447163
373.0,10.0,1303.0,2,0,1,3018,0.657702302026226
1601.0,45.0,2554.0,10,15,4,1604,0.018268043736007544
1058.0,86.0,1168.0,7,1,1,920,0.034666354120149734
2174.0,64.0,1776.0,6,4,1,1356,0.025680180973208344
13026.0,648.0,10758.0,115,14,1,1407,0.01641698551275772
2530.0,80.0,1908.0,6,22,1,1148,0.01979881259477656
3484.0,197.0,4365.0,44,20,1,994,0.019916693805156368
1152.0,14.0,802.0,0,2,1,1041,0.0292232540754378
1341.0,26.0,711.0,3,0,1,1262,0.7462782522129021
234.0,5.0,1004.0,0,0,1,1617,0.029475816150344007
139.0,12.0,7782.0,1,2,1,643,0.26826694369265136
257.0,4.0,25525.0,0,0,1,1464,0.014855186166392144
2648.0,66.0,3500.0,9,2,1,1722,0.01813563368298288
21379.0,986.0,6629.0,210,26,1,1998,0.014685272990982878
4496.0,516.0,8068.0,96,20,1,517,0.014250822084383554
453.0,24.0,1642.0,0,4,1,678,0.027385336317164444
9907.0,369.0,9221.0,73,12,1,3122,0.01572004783453862
8300.0,323.0,2157.0,48,13,1,2158,0.022535174223743067
431.0,7.0,3801.0,0,0,1,991,0.02063324066559136
191.0,5.0,13026.0,0,0,49,580,0.015456855137728875
209.0,15.0,1021.0,1,3,1,638,0.03516415462804445
2756.0,58.0,25076.0,98,8,49,1618,0.014669886313093185
513.0,10.0,1012.0,3,0,1,1713,0.04654252757720878
2222.0,54.0,2608.0,10,0,1,2595,0.016789915260475685
2104.0,34.0,2253.0,1,0,1,2044,0.032833545409518994
1364.0,75.0,11460.0,57,4,9,983,0.014315907864448809
9524.0,465.0,1766.0,46,28,1,1200,0.03125209745654178
89.0,4.0,1433.0,0,1,1,3188,0.03755262543561033
4122.0,168.0,26382.0,39,11,1,1047,0.015703250005714597
2777.0,76.0,11918.0,22,8,1,2383,0.01474992166722544
1784.0,185.0,3972.0,34,4,1,1857,0.01718421040143236
1822.0,88.0,1615.0,6,3,1,1215,0.03380112915159583
262.0,5.0,3792.0,0,0,1,1501,0.01738625141202832
395.0,7.0,1577.0,0,0,1,2370,0.02329925808221533
1736.0,82.0,6048.0,56,17,4,2692,0.016106701818261016
5139.0,104.0,30723.0,57,13,9,1785,0.01565135126914396
311.0,5.0,9492.0,12,2,36,1659,0.01566145324257029
358.0,19.0,1538.0,0,0,1,1186,0.020631246489985374
2637.0,32.0,1722.0,3,0,1,2712,0.04152971675995165
645.0,76.0,1319.0,7,3,1,550,0.04576403619577218
1593.0,56.0,2290.0,2,2,1,1033,0.27207639965264874
508.0,9.0,531.0,0,0,1,1713,0.3219031366660248
432.0,23.0,8973.0,1,1,1,1229,0.015134443086057159
39935.0,1167.0,115365.0,440,59,4,1502,0.016167484969303758
1650.0,62.0,37619.0,234,13,676,1391,0.016225255807036598
783.0,27.0,717.0,3,8,1,1864,0.0382244979497568
